Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"MAXIMUM 4-1/2-in Type 01 Aluminum Oxide Cut off Wheels for Metal, 10-pk",33.99,16.99,50.0,tools,054-1854-4,4.4,https://www.canadiantire.ca/en/pdp/maximum-4-1-2-in-type-01-aluminum-oxide-cut-off-wheels-for-metal-10-pk-0541854p.html#srp
Castrol CAS3593 SFX Premium Synthetic Oil Filter,16.99,15.29,10.0,light-auto-parts,117-2710-2,5.0,https://www.canadiantire.ca/en/pdp/castrol-cas3593-sfx-premium-synthetic-oil-filter-1172710p.html#srp
"Clorox Clean Up Cleaner & Bleach Spray, Fresh Scent, 946-mL",4.99,4.49,10.0,cleaning,153-1420-0,4.8,https://www.canadiantire.ca/en/pdp/clorox-clean-up-cleaner-bleach-spray-fresh-scent-946-ml-1531420p.html#srp
"Wahl Deluxe Chrome Pro Haircutting Kit with Trimmer/Clipper, Guide Combs & Scissors, 22-pc",49.99,34.99,30.0,personal-garment-care,043-8310-2,3.4,https://www.canadiantire.ca/en/pdp/wahl-deluxe-chrome-pro-haircutting-kit-with-trimmer-clipper-guide-combs-scissors-22-pc-0438310p.html#srp
"Wahl Home Barber Haircutting Kit with Clippers, Ear/Nose/Brow Trimmer & Scissors, 30-pc",54.99,34.99,36.0,personal-garment-care,043-8560-6,3.4,https://www.canadiantire.ca/en/pdp/wahl-home-barber-haircutting-kit-with-clippers-ear-nose-brow-trimmer-scissors-30-pc-0438560p.html#srp
"MotoMaster Nautilus 3-Bank Onboard Smart Battery Charger/Maintainer, Fully Automatic, 15-Amp, 12V",289.99,231.99,20.0,light-auto-parts,011-1985-4,4.3,https://www.canadiantire.ca/en/pdp/motomaster-nautilus-3-bank-onboard-smart-battery-charger-maintainer-fully-automatic-15-amp-12v-0111985p.html#srp
"IRWIN Diamond Tip Hex Key Set, 22-pc",49.99,39.99,20.0,tools,058-9779-8,4.0,https://www.canadiantire.ca/en/pdp/irwin-diamond-tip-hex-key-set-22-pc-0589779p.html#srp
"CANVAS Mushroom Table Lamp, 18-in, Brass/Smoked Glass",134.99,89.99,33.0,home-decor,052-6165-8,0.0,https://www.canadiantire.ca/en/pdp/canvas-mushroom-table-lamp-18-in-brass-smoked-glass-0526165p.html#srp
"Wahl 3114 Lithium Ion Stainless Steel Multigroomer with Face & Body Hair Clipper/Trimmer, 19-pc",84.99,63.74,25.0,personal-garment-care,043-8691-4,4.3,https://www.canadiantire.ca/en/pdp/wahl-3114-lithium-ion-stainless-steel-multigroomer-with-face-body-hair-clipper-trimmer-19-pc-0438691p.html#srp
"IRWIN IWHT47414L Compact Reel & Chalk Set, Blue, 30-ft, 4-oz",10.99,8.79,20.0,tools,057-5821-2,4.4,https://www.canadiantire.ca/en/pdp/irwin-iwht47414l-compact-reel-chalk-set-blue-30-ft-4-oz-0575821p.html#srp
