,Product Name,Original Price,Clearance Price,Rating,Product Code,Percentage Off
182,"SodaStream Fuse Carbonating Bottles, BPA-Free, White, 1L, 3-pk",19.99,12.93,4.0,043-1021-2,65.0
183,"Nu Finish Car Quick Clay Bar Kit, 3-pc",33.99,14.93,2.7,039-1227-6,44.0
184,Reload Wired Backup Camera with 5-in Monitor,249.99,99.93,3.3,035-0157-6,40.0
185,"Goodtimes Foam Plates, 10-in, 50-pk",6.99,4.93,4.6,053-2210-2,71.0
186,"For Living Machine Wash Cotton Reversible Bath Rug, Assorted Colours, 16 x 24-in",,14.99,3.8,063-4771X,
187,"Microban 24-Hour Disinfecting Sanitizing Spray, Assorted Scents, 425-g",6.99,4.93,4.6,153-1374X,71.0
188,"Chemical Guys Jet Seal Car Sealant & Paint Protectant, 473-mL",56.99,29.93,4.9,039-1013-4,53.0
189,"CANVAS Canadian Tire 100th Anniversary Special Edition Quebec Mug, 14-oz",,2.43,5.0,399-8567-6,
190,Rust-Oleum® RockSolid Garage Floor Coating Kit,,299.99,3.3,048-9760X,
191,"Raleigh Insulated Rack Top Bike Bag w/Reflective Panels, Black",51.99,24.93,4.2,073-3048-6,48.0
192,"ZURU Bubble Wow Kids' Wave & Play Wing-A-Bubbles Blower/Maker & Solution, Age 3+, Assorted",7.99,2.93,5.0,050-9133-0,37.0
193,"Spiderwire Ultimate Mono Monofilament Fishing Line, Clear",16.99,9.93,3.2,077-0072X,58.0
194,"NOMA 1-Outlet and 2 USB Travel Extension Cord, 5-ft Retractable Plug, Green",37.99,18.93,4.3,052-9126-4,50.0
195,More Birds® Four Suet Buffet Bird Feeder with Weather Guard,27.99,16.93,4.9,142-6590-0,60.0
196,MAXIMUM 1/2-in Pneumatic Air Impact Wrench with Built-In Regulator,224.99,134.93,3.2,058-9370-8,60.0
197,"Aquarius Pool Backwash Hose Roller, for up to 100-ft hoses",34.99,13.93,3.2,081-3438-8,40.0
198,"HME 4:1 Heavy Duty Hunting Game Hanging Gambrel Combo, 500-lbs",34.99,22.93,4.1,175-9981-4,66.0
199,"DAP Kwik Seal Waterproof Acrylic Latex Adhesive Caulk For Kitchen & Bath, Clear, 300-mL",7.29,4.93,4.4,064-1599-8,68.0
200,Safe Home SHCANBDIY110-Minute DIY Lead Drinking Water Test Kit,29.99,19.93,1.3,062-2019-8,66.0
201,"MotoMaster Non-Detergent Motor Oil, 946-mL",6.99,4.93,4.4,028-7111X,71.0
202,"Broan AER110S 110 CFM InVent™ Series Humidity Sensing Exhaust Fan, ENERGY STAR® Certified, 110 CFM",229.99,154.93,3.8,052-2728-4,67.0
203,"Gazillion Bubble Pets Kids' Squeezable Bubble Blower/Maker & Solution, Age 3+, Assorted",4.39,2.93,1.4,050-9129-2,67.0
204,"Waste Management Odour Disposer Spray, Lemongrass Scent, 650-mL",7.99,4.93,4.2,153-0468-4,62.0
205,LG CordZero™ ThinQ Kompressor™ Cordless Stick Vacuum,799.99,549.93,4.3,043-9489-2,69.0
206,"LePage PolyFilla Nail Hole Repair Filler, Fast-Setting Spackling White, 148-mL",13.99,8.93,3.0,049-5063-6,64.0
207,"Outbound Women's Waterproof Rain-Patterned Rubber Rain Boots, Multi-Colour",31.99,15.93,4.2,187-1754X,50.0
208,"Coast HX5R USB Rechargeable Handheld Flashlight, Li-Ion Battery Included, Black",48.99,29.93,4.5,065-1732-8,61.0
209,LG CordZero™ All in One Auto Empty Cordless Stick Vacuum,1049.99,729.93,5.0,043-9490-6,70.0
210,"Black & Decker Replacement String Trimmer Line Spool, 0.080-in",24.99,7.93,3.2,060-2228-4,32.0
211,"Hartz Ultra Guard Pro Topical Flea and Tick Treatment For Dogs and Puppies, Assorted Sizes",18.99,6.93,4.5,142-1718X,36.0
212,"Pfister 3-Setting Spray & Handheld Shower Head Combo with Slide Bar, Chrome",169.99,74.93,4.1,063-9977-2,44.0
213,"SIMONIZ Trim & Plastic Car Restoration Spray, 250-mL",10.99,4.43,4.3,039-2581-4,40.0
214,"MASTER Chef Stainless Steel Carving Set, Comfortable Grip Handle, Dishwaher Safe, 2-pc",11.99,6.93,3.8,142-2657-8,58.0
215,Garmin Instinct® Solar GPS Smartwatch with All-Day Health Monitoring and Smart Notifications,,559.99,4.2,079-2218X,
216,"Scentos Kids' Fruit Scented Washable Sparkle Art Chalk, Age 3+, 8-Pk",6.99,4.43,3.7,050-9168-8,63.0
217,"Yardworks Leaf Collection System Refill Bags, 3-pk",8.99,0.93,3.4,060-3852-0,10.0
218,"Delta Faucet Carlisle Single Handle Pressure Balanced 4-Spray Bathtub & In2ition Shower Faucet, Chrome",299.99,129.93,3.3,063-9850-2,43.0
219,"Berkley Trilene 100% Fluorocarbon XL Fishing Line, Clear",,,4.0,077-5228X,
220,"Ingenuity SmartBounce Automatic Bouncer, Chadwick",119.99,79.93,4.6,046-4876-4,67.0
